,cellLabel,cellSize,Y_cent,X_cent,H&E_R,H&E_G,H&E_B,dst_register,src_register,DAPI,CD45,CD3e,CD8,CD4,CD45RO,CD45RA,CD69,CD57,CD56,FoxP3,CD28,CD86,T-bet,TCF1_7,IFN-y,GranzymeB,Tox_Tox2,Tim-3,PD-1,LAG-3,CD20,CD138,CD68,TREM2,CD163,CD16,CD11b,CD11c,MPO,C1Q,IDO-1,PDL1,CA9,Cytokeratin,HLA1,Ki-67,P53,CD31,Podoplanin,aSMA,NaKATP,VDAC1,ATP5A,GLUT1,G6PD
763,764,115,440.75652173913045,411.62608695652176,27061.0,26670.0,26994.0,124783.0,326467.0,116631.0,72.0,6874.0,20.0,115.0,0.0,103158.0,115.0,115.0,40.0,115.0,21062.0,16501.0,112.0,115.0,102.0,0.0,12851.0,1605.0,2275.0,7.0,100.0,15624.0,115.0,215140.0,114.0,862.0,17489.0,115.0,17.0,107.0,758.0,4443.0,597984.0,3277.0,51457.0,115.0,872.0,199.0,112.0,1.0,468619.0,9269.0,24900.0,70307.0,25377.0
764,765,624,439.93910256410254,643.1858974358975,132235.0,116760.0,132023.0,3527902.0,8759969.0,2875527.0,777517.0,6425048.0,64.0,273005.0,60372.0,1588.0,624.0,624.0,257.0,624.0,169365.0,424319.0,180144.0,624.0,491.0,37.0,20612.0,53582.0,97848.0,29.0,59965.0,66515.0,12427.0,11840.0,624.0,581.0,89909.0,624.0,127476.0,144611.0,13940.0,624.0,394883.0,1316643.0,425904.0,1619606.0,23585.0,624.0,464.0,201848.0,547706.0,45880.0,413216.0,624.0,8801.0
765,766,756,446.3452380952381,738.1957671957672,176555.0,170088.0,174875.0,1026983.0,3125015.0,982581.0,710.0,66854.0,166.0,756.0,370.0,585652.0,756.0,756.0,15.0,756.0,189090.0,317618.0,756.0,615.0,6973.0,10.0,45710.0,171770.0,7415.0,84.0,541.0,41917.0,726.0,494577.0,756.0,724.0,142125.0,756.0,54448.0,49764.0,709.0,29878.0,616764.0,345610.0,593187.0,719.0,5941.0,236.0,322.0,1393.0,1393306.0,987167.0,550285.0,60451.0,113107.0
766,767,83,441.26506024096386,46.7710843373494,19575.0,19113.0,19653.0,110781.0,225261.0,80879.0,41.0,6487.0,0.0,80.0,21.0,69654.0,83.0,83.0,927.0,83.0,27728.0,41420.0,83.0,83.0,10795.0,0.0,10653.0,31752.0,2798.0,10.0,28.0,11850.0,80.0,52950.0,72.0,43.0,25438.0,83.0,501.0,2233.0,2214.0,3991.0,469718.0,8689.0,77093.0,83.0,1322.0,7.0,32.0,1.0,190559.0,15622.0,29817.0,84461.0,21025.0
767,768,319,442.8213166144201,237.49529780564262,71595.0,68464.0,71124.0,857391.0,2173315.0,661245.0,315.0,158766.0,8.0,312.0,290.0,255465.0,319.0,319.0,122.0,319.0,85428.0,154885.0,197.0,319.0,317.0,3.0,42467.0,15750.0,11923.0,1.0,46.0,81489.0,319.0,227992.0,319.0,319.0,60452.0,319.0,20561.0,219254.0,24.0,120.0,3251085.0,48348.0,186464.0,319.0,12839.0,247.0,139.0,75.0,1038185.0,86177.0,157269.0,420670.0,63197.0
768,769,49,444.59183673469386,872.7142857142857,11284.0,10706.0,11119.0,73933.0,113275.0,59036.0,49.0,2776.0,0.0,49.0,0.0,58498.0,49.0,49.0,1162.0,49.0,14137.0,4819.0,49.0,49.0,20.0,0.0,2101.0,55421.0,658.0,0.0,9.0,3997.0,49.0,12470.0,49.0,49.0,9900.0,49.0,128.0,2963.0,17.0,22.0,402213.0,17751.0,59128.0,23830.0,250.0,39.0,0.0,0.0,118086.0,7364.0,9364.0,9126.0,9928.0
769,770,155,445.3032258064516,22.374193548387098,36717.0,36203.0,36723.0,216506.0,325679.0,212539.0,10199.0,99541.0,0.0,149.0,1329.0,449679.0,155.0,155.0,1108.0,155.0,79371.0,102469.0,112.0,117.0,641.0,0.0,45563.0,70551.0,6162.0,193.0,0.0,36583.0,155.0,319234.0,155.0,8496.0,75438.0,155.0,14584.0,25.0,4252.0,0.0,999628.0,15569.0,153266.0,47338.0,7421.0,351.0,89.0,7.0,1089724.0,184944.0,98764.0,289449.0,65420.0
770,771,732,443.7390710382514,262.07377049180326,162340.0,156799.0,162258.0,3243061.0,8568338.0,2593997.0,210475.0,274419.0,142.0,660.0,6660.0,512350.0,732.0,732.0,13.0,732.0,231637.0,617521.0,20843.0,665.0,2441.0,29.0,164110.0,168180.0,35787.0,130.0,240.0,194999.0,6690.0,1185147.0,614.0,131871.0,192490.0,732.0,75665.0,23311.0,28612.0,11613.0,4379907.0,13439.0,557150.0,732.0,43831.0,2556.0,225.0,45.0,2423711.0,105678.0,319726.0,910404.0,117514.0
771,772,124,445.21774193548384,761.016129032258,29476.0,29134.0,29308.0,228078.0,606863.0,205187.0,124.0,35204.0,0.0,116.0,25.0,171145.0,124.0,124.0,20.0,124.0,35356.0,89213.0,68.0,99.0,2256.0,0.0,12436.0,52262.0,1936.0,25.0,375.0,4964.0,124.0,158411.0,124.0,124.0,25964.0,124.0,27417.0,17216.0,997.0,1050.0,63030.0,60716.0,120313.0,77.0,3124.0,40.0,7.0,0.0,453941.0,197076.0,105845.0,35268.0,27187.0
772,773,386,446.0518134715026,332.50518134715026,87345.0,84865.0,86750.0,1160769.0,2894983.0,935506.0,7579.0,203235.0,44.0,386.0,393.0,370606.0,386.0,386.0,0.0,386.0,136436.0,253256.0,313.0,386.0,2978.0,5.0,93365.0,311.0,22131.0,0.0,153.0,107392.0,386.0,629518.0,386.0,2059.0,115603.0,386.0,14578.0,92015.0,1331.0,61.0,1067619.0,10.0,178411.0,386.0,21464.0,185.0,175.0,9.0,2147036.0,317892.0,450779.0,470486.0,65878.0
